source,target ,weight,directed,FloorPlan,Staircase,BlockConn,Remarks,new,X,Y,status
(D1) Junior Music Suite Corridor,(D1) Practice Room A,1,FALSE,D1.1,-,-,,,,,Old
(D1) Junior Music Suite Corridor,(D1) Practice Room B,1,FALSE,D1.1,-,-,,,,,Old
(D1) Junior Music Suite Corridor,(D1) Practice Room C,1,FALSE,D1.1,-,-,,,,,Old
(D1) Junior Music Suite Corridor,(D1) Practice Room D,1,FALSE,D1.1,-,-,,,,,Old
(D1) Junior Music Suite Corridor,(D1) Practice Room E,1,FALSE,D1.1,-,-,,,,,Old
(D1) Junior Music Suite Corridor,(D1) Practice Room F,1,FALSE,D1.1,-,-,,,,,Old
(D1) Main Entrance Corridor,(D1) Junior Music Suite Corridor,1,FALSE,D1.1,-,D1-C1,,,,,Old
(D1) Main Entrance Corridor,(D1) Canteen Space 2,1,FALSE,D1.1,D1-C2,D1-C2,,,,,Old
(D1) Canteen Space 1,(D1) Staircase Space,1,FALSE,D1.1,-,-,,,,,Old
(D1) Canteen Space 2,(D1) Staircase Space,1,FALSE,D1.1,D2- C3,D2- C3,,,,,Old
(D1) Staircase Space,(C1) Ext Corridor,1,FALSE,D1.1,-,-,,,,,Old
(D1) Staircase Space,(C2) Ext Corridor,1,FALSE,D1.1,D1-C2,D1-C2,,,,,Old
,,,,,,,,,,,Old
(D2) Football Field,(C3) Ext Corridor,1,FALSE,D2,D2- C3,D2- C3,,,,,Old
(D2) Sky Bridge,(D2) Football Field,1,FALSE,D2,-,-,,,,,Old
,,,,,,,,,,,Old
(C1) Science 2,(E1) Out Corridor 1,1,FALSE,E1,-,C1-E1,,,,,New
(C1) Ext Corridor,(E1) Out Corridor 1,1,FALSE,E1,-,C1-E1,,,,,New
(E1) Out Corridor 1,(E1) Drop Off Point,1,FALSE,E1,-,-,,,,,New
(C1) Ext Corridor,(E1) Out Corridor 1-9,1,FALSE,E1,-,C1-E1,,,,,New
(E1) Out Corridor 1-9,(E1) In Corridor 3,1,FALSE,E1,-,-,,,,,New
(E1) Out Corridor 1-9,(E1) In Corridor 6.1,1,FALSE,E1,-,-,,,,,New
(E1) Out Corridor 1-9,(E1) In Corridor 9,1,FALSE,E1,-,-,,,,,New
(E1) Out Corridor 1-9,(E1) E-Sports Stairs,1,FALSE,E1,-,-,,,,,New
(E1) Out Corridor 1,(E1) Out Corridor 1-4,1,FALSE,E1,-,-,,,,,New
(E1) Out Corridor 1-4,(E1) Out Corridor 4-9,1,FALSE,E1,-,-,,,,,New
(E1) Out Corridor 4-9,(E1) In Corridor 6.2,1,FALSE,E1,-,-,,,,,New
(E1) In Corridor 6.1,(E1) In Corridor 6.2,1,FALSE,E1,-,-,,,,,New
(E1) Out Corridor 1,(E1) In Corridor 1-2,1,FALSE,E1,-,-,,,,,New
(E1) In Corridor 3,(E1) In Corridor 1-2,1,FALSE,E1,-,-,,,,,New
(E1) In Corridor 3,(E1) In Corridor 3-5,1,FALSE,E1,-,-,,,,,New
(E1) In Corridor 3-5,(E1) In Corridor 6.1,1,FALSE,E1,-,-,,,,,New
(E1) In Corridor 6.1,(E1) In Corridor 6-9,1,FALSE,E1,-,-,,,,,New
(E1) In Corridor 6-9,(E1) In Corridor 9,1,FALSE,E1,-,-,,,,,New
(E1) In Corridor 6-9,(E1) Out Corridor 4-9,1,FALSE,E1,-,-,,,,,New
(E1) E-Sports Stairs,(E1) Out Corridor 4-9,1,FALSE,E1,-,-,,,,,New
(E1) E-Sports Stairs,(E2) E-Sports Arena,1,FALSE,E1,E1-E2,-,,,,,New
,,,,,,,,,,,New
(E1) Out Corridor 1,(E1) Music Rooms 1,1,FALSE,E1,-,-,,15A,Music Rooms 1,,New
(E1) Out Corridor 1,(E1) Music Practice 1,1,FALSE,E1,-,-,,16A,Music Practice 1,,New
(E1) Out Corridor 1,(E1) Music Rooms 2,1,FALSE,E1,-,-,,15B,Music Rooms 2,,New
(E1) Out Corridor 1,(E1) Art store 1,1,FALSE,E1,-,-,,12A,Art store 1,,New
(E1) Out Corridor 1,(E1) Art Rooms 1,1,FALSE,E1,-,-,,11A,Art Rooms 1,,New
(E1) Out Corridor 1,(E1) Art Rooms 2,1,FALSE,E1,-,-,,11B,Art Rooms 2,,New
(E1) Out Corridor 1,(E1) Reception,1,FALSE,E1,-,-,,2A,Reception,,New
(E1) Out Corridor 1,(E1) MPH,1,FALSE,E1,-,-,,8A,MPH,,New
,,,,,,,,,,,New
(E1) In Corridor 3,(E1) Music Practice 2,1,FALSE,E1,-,-,,16B,Music Practice 2,,New
(E1) In Corridor 3,(E1) Library,1,FALSE,E1,-,-,,9A,Library,,New
(E1) In Corridor 3,(E1) Toilet,1,FALSE,E1,-,-,,35A,Toilet,,New
(E1) In Corridor 3,(E1) MPH,1,FALSE,E1,-,-,,8A,MPH,,New
,,,,,,,,,,,New
(E1) In Corridor 3-5,(E1) Admin Rooms ,1,FALSE,E1,-,-,,4A,Admin Rooms ,,New
,,,,,,,,,,,New
(E1) In Corridor 6.1,(E1) Library 2,1,FALSE,E1,-,-,,9B,Library 2,,New
(E1) In Corridor 6.1,(E1) Admin Rooms 2,1,FALSE,E1,-,-,,4B,Admin Rooms 2,,New
(E1) In Corridor 6.1,(E1) Classroom – N 1,1,FALSE,E1,-,-,,27A,Classroom – N 1,,New
(E1) In Corridor 6.1,(E1) Language Lab 1,1,FALSE,E1,-,-,,10A,Language Lab 1,,New
(E1) In Corridor 6.1,(E1) Language Lab 2,1,FALSE,E1,-,-,,10B,Language Lab 2,,New
(E1) In Corridor 6.1,(E1) Teacher Prep,1,FALSE,E1,-,-,,6A,Teacher Prep,,New
(E1) In Corridor 6.1,(E1) Staff Room,1,FALSE,E1,-,-,,5A,Staff Room,,New
,,,,,,,,,,,New
(E1) In Corridor 6.2,(E1) Staff Office,1,FALSE,E1,-,-,,33A,Staff Office,,New
(E1) In Corridor 6.2,(E1) Core,1,FALSE,E1,-,-,,1A,Corridor & Fit Allowance,,New
(E1) Core,(E2) Core,1,FALSE,E1,E1-E2,-,,,,,New
(E1) In Corridor 6.2,(E1) Wash Room,1,FALSE,E1,-,-,,34A,Wash Room,,New
(E1) In Corridor 6.2,(E1) Kindergarten Reception,1,FALSE,E1,-,-,,42A,Kindergarten Reception,,New
(E1) In Corridor 6.2,(E1) Classroom – N 2,1,FALSE,E1,-,-,,27B,Classroom – N 2,,New
(E1) In Corridor 6.2,(E1) Classroom – N 3,1,FALSE,E1,-,-,,27C,Classroom – N 3,,New
,,,,,,,,,,,New
(E1) In Corridor 6-9,(E1) Staff Changing 1,1,FALSE,E1,-,-,,14A,Staff Changing 1,,New
(E1) In Corridor 6-9,(E1) Staff Changing 2,1,FALSE,E1,-,-,,14B,Staff Changing 2,,New
(E1) In Corridor 6-9,(E1) Student Changing Rooms 1,1,FALSE,E1,-,-,,13A,Student Changing Rooms 1,,New
(E1) In Corridor 6-9,(E1) Student Changing Rooms 2,1,FALSE,E1,-,-,,13B,Student Changing Rooms 2,,New
